,label,text,id,count_chars,count_words,count_sentences,count_emojis,count_at,count_hash,count_words_avg,count_sentences_avg,text_length
0,0,"Hi Roy hope you are ok, Trans people are not gay. also the only thing thats being rammed down your throat is information about inequality, prejudice and the lack or recognition that 15,000 american trans soldiers have made a pledge that if needs be, they will sacrifice their life for the sake of others. Anyone who is able to join military services to support their country shouldn't be persecuted with such venom. Maybe more appreciation, more tolerance and acceptance and then less wars.",95e98db99c2,490,83,4,0,False,False,4.9156626506024095,20.75,490
6,1,"And their minds are less scientific, less methodical, less logical and less organised than our's, they can squabble and protest but at the first sign of major trouble they will be put down. They are not a major threat to us or our culture because we are stronger, smarter and vastly better equipped than they are. They either integrate or they fall through the cracks. Personally, I think the risks of rejecting them are far higher than accepting them. Accepted they are split up, put all over europe, in different communities, rejected they return together to their own countries blaming us for their problems.",9805e037f8d,611,104,5,0,False,False,4.884615384615385,20.8,611
9,1,Listen I was in the Royal Irish for 9 years I know they're all basic trained but you well know they are not all fit for certain things. Anyway that's my last comment. I got no time for the liberal left . Peace out,6186bafafb9,213,44,4,0,False,False,3.8636363636363638,11.0,213
12,0,"if you just search the internet, you will find many photos and pictures of the Blessed Virgin Mary with her head covered and a very few if any with her head uncovered.",14ceb6d21e6,167,32,1,0,False,False,4.25,32.0,167
14,1,"I agree. What did we all expect from a bunch of individuals most of whom failed spectacularly to achieve anything in politics in their own countries? MEPs are second rate politicians - and they are being given increasing powers over the sovereignty of individual countries (now referred to as 'member states'!). Added to this, our respective governments are being influenced by a biased media who are only reporting one side of the story because they just love a bit of sensationalism.",a37a25993e4,485,81,4,0,False,False,5.0,20.25,485
20,0,I am a free woman and I will die a free woman. The Rest Of The Woman That Do Not Believe They Are Equal To Men And Allow Them To Rule Are Weak woman. We are warriors not kept dolls!,ab3b8c0980c,181,40,3,0,False,False,3.55,13.333333333333334,181
26,1,Why would I want to see non indigenous people in the USA? It's time they removed everyone who's moved there in the last 400 years. until that happens I won't be visiting!,40c193743b6,170,32,3,0,False,False,4.34375,10.666666666666666,170
30,0,It's just that people are fed up with the Left's agenda; I think they’re at the breaking point. That’s where we are now in our country. It’s a powder keg of emotions.,fbce3dceb28,166,32,3,0,False,False,4.21875,10.666666666666666,166
38,0,"Zainab: Definition of habit - as in nun's habit - is defined as clothing of a religious order. I’m not using the term ‘habit’ as something habitual, or behaviour pattern,",e94ba8c68db,170,30,2,0,False,False,4.7,15.0,170
39,1,"the bible says it is OK to own slaves, beat children, presumably rape children because the church did lots of that. Also killing women who cheat on their husbands. Sorry just when you said you were a Christian I assumed you had read the bible and believed in its teachings. Or are you like every other hypocrite that likes to pick and choose the bits of the bible they listen to. And there is NO evidence that children of opposite sex couples do better. Look at you, presumably the spawn of 2 religious opposite sex zealots. They managed to produce an intollereant hateful hypocrite. Not exactly the poster child for your argument are you. So back to my original question how many slaves is it OK to own?",59668a7d2c8,704,128,9,0,False,False,4.5078125,14.222222222222221,704
42,0,Justine Louise they are migrants http://www.dailymail.co.uk/news/article-3240010/Number-refugees-arriving-Europe-soars-85-year-just-one-five-war-torn-Syria.html,a093d5bdf30,160,6,1,0,False,False,25.833333333333332,6.0,160
43,0,"are you seriously coming to me with that weak shit? If you'd actually READ my comment, you'd see that I said from the start that it's only peripherally about gay marriage! Or BarryCare! My point was LEGAL!! The merits of those issues are a SEPARATE MATTER.",fc8e8889b76,256,46,5,0,False,False,4.586956521739131,9.2,256
44,1,Does anybody really want to see the idiots we can find in the ledt ranks? So you could find some outspoken people in SD . They are still better then most v or mp .,fc3cc6baafe,163,35,3,0,False,False,3.6857142857142855,11.666666666666666,163
45,0,"Why are you a fascist and not a democrat? If you live in Sweden, or any democracy, you have no say in public policy, because you deny other's that same say.",096c0283322,156,31,2,0,False,False,4.064516129032258,15.5,156
47,1,The border must be closed now as we don't won't anymore migrants . As for the Tory get out of the EU and think of our people . We should be thinking of the ex service and the homeless with children . As they need a safe place to live in instead of sleeping in the streets etc. So open your eyes for once.,beeb48013cd,304,64,5,0,False,False,3.765625,12.8,304
57,1,This is fake comfort there are only two sexes man and woman ask dogs they know this fact what a disgrace to humanity and this just confusion to the children that these perverts are allowed to keep,e6bbeb1798e,196,37,1,0,False,False,4.324324324324325,37.0,196
62,1,"The trouble with immigration is, it is eroding the British culture fast and I for one want to keep the British culture in my own country, I will be voting for Ukip",6daa3a703f4,163,32,1,0,False,False,4.125,32.0,163
63,1,may make it easier if they are orphans but I put immediate blame on the ISIS members trying to brainwash them and let's face it they dont believe it themselves as they recruit vulnerable children to do this.,5012ed24d10,207,38,1,0,False,False,4.473684210526316,38.0,207
65,1,"French are doing what they believe in which is keeping France French. Unlike England, which is steadily letting the laws and cultures of others overpower our society. At least the French are doing something about immigration and standing firm on their laws. I say lets adopt these lessons from them. Now... anyone for a baguette? :)",22b552f3886,332,56,6,0,False,False,4.946428571428571,9.333333333333334,332
69,0,Anderd Wiberg. The Sweden democrats just want us to take the train back to 1700 were we can all live without basic human rights. Such as freedom of religion. Maybe we should also talk about what they think about abortionrights for woman and adoption for gaycouple and inseminations. Anyone?,fd6df722e48,290,49,5,0,False,False,4.938775510204081,9.8,290
70,0,Your logic is deeply flawed. You are arguing for the right to discriminate against other groups of people. They are fighting for equality. There is no equivalence between these two sides. One is repressive while the other is progressive. Why should gay marriage not be legal?,31879469d75,275,46,6,0,False,False,5.0,7.666666666666667,275
71,0,"That was my first thought as well. But it might just be the only option here, since it can be next to impossible to change the longstanding beliefs of the elderly. So just give each their own and let them live out their days in peace. New generations can inhabit those same homes together.",26e505c3272,289,54,4,0,False,False,4.37037037037037,13.5,289
78,1,Rubbish...Get the Drama out of reporting! You are being conned every single minute and finger typing second of the day......Tell the truth and stop selling your own twisted notion of conscience..there is no moral base to the assertions and without that its just another big Fib !,ccf4af73f92,279,47,2,0,False,False,4.957446808510638,23.5,279
