label,text,id
0,"Hi Roy hope you are ok, Trans people are not gay. also the only thing thats being rammed down your throat is information about inequality, prejudice and the lack or recognition that 15,000 american trans soldiers have made a pledge that if needs be, they will sacrifice their life for the sake of others. Anyone who is able to join military services to support their country shouldn't be persecuted with such venom. Maybe more appreciation, more tolerance and acceptance and then less wars.",95e98db99c2
0,But fuckin' hell what even is biology,a87b8708e63
0,Whose the nice looking clergyman?,5b3cb03803f
1,"AIDS ARE IN YOUR WAY, SIN HAS CONSEQUENCES AND VERY BAD.",5b0bad2347e
0,to learn,332048bd188
0,"Oh, go away. Nobody cares",1ed18589660
1,"And their minds are less scientific, less methodical, less logical and less organised than our's, they can squabble and protest but at the first sign of major trouble they will be put down. They are not a major threat to us or our culture because we are stronger, smarter and vastly better equipped than they are. They either integrate or they fall through the cracks. Personally, I think the risks of rejecting them are far higher than accepting them. Accepted they are split up, put all over europe, in different communities, rejected they return together to their own countries blaming us for their problems.",9805e037f8d
0,Seems like today Normal is anything goes as long as you don't hurt someone. Sometimes painful to see and watch!!!,2959b52b81f
0,Is it wrong to kill someone that changes their religion?,8c67a64bcdb
1,Listen I was in the Royal Irish for 9 years I know they're all basic trained but you well know they are not all fit for certain things. Anyway that's my last comment. I got no time for the liberal left . Peace out,6186bafafb9
0,What would Jesus do...he wouldn't hate he would love,a75d40a11f1
1,Half the US doesn't have anti discrimination laws that include gays Americans are so stupid,a464776e4b7
0,"if you just search the internet, you will find many photos and pictures of the Blessed Virgin Mary with her head covered and a very few if any with her head uncovered.",14ceb6d21e6
0,Most are - the old boys pop their clogs,36179c3e8bf
1,"I agree. What did we all expect from a bunch of individuals most of whom failed spectacularly to achieve anything in politics in their own countries? MEPs are second rate politicians - and they are being given increasing powers over the sovereignty of individual countries (now referred to as 'member states'!). Added to this, our respective governments are being influenced by a biased media who are only reporting one side of the story because they just love a bit of sensationalism.",a37a25993e4
0,I love being part of the EU and we are all immigrants. This nation is built on hundreds of years of immigration. Tabloid right wing hysteria.,9e79aa21dc7
0,"Speak to the Cornish, they do extremely well out of the EU.",398b5a6f4ad
1,Idiots can not spell,d7858ce5ccc
0,"I hate everyone equally so that makes it fine. Kill the gays too. And the Jews. And while we're at it, how about them refugees",6d587b78e40
0,the nhs doesn't provide any drugs you pay for your prescription well at least people who work dp,7aa37a26cd4
0,I am a free woman and I will die a free woman. The Rest Of The Woman That Do Not Believe They Are Equal To Men And Allow Them To Rule Are Weak woman. We are warriors not kept dolls!,ab3b8c0980c
0,http://thewealthwatchman.com/wp-content/uploads/2015/09/Assad-2.jpg,da0f788bde9
0,They've already been fighting for your country and they know what gender they are. It's you who is confused.,cf683421986
0,"Oh no, not this bloody God business again.",456e4657f65
1,its a burn in hell bigot for me,d920141bb61
0,Hmmmmmmmmm!!!.,abab9f6c125
1,Why would I want to see non indigenous people in the USA? It's time they removed everyone who's moved there in the last 400 years. until that happens I won't be visiting!,40c193743b6
1,"c'mon... they only want a free house, free food, free money, free health care and change your country to a muslim nation....enjoy your descent...",66f2461ba02
0,https://m.youtube.com/watch?v=ZV315xqbRK8,f6ef41632a6
0,Jesus Wept,2dcfd66343f
0,It's just that people are fed up with the Left's agenda; I think they’re at the breaking point. That’s where we are now in our country. It’s a powder keg of emotions.,fbce3dceb28
0,All higher animals practice polygamy so why shouldn't it be allowed to humans?,7964298a5cf
0,who cares,89e6243a2b3
1,I know. It's the media that has brainwashed the masses.. they are too easy to deceive.,2184766b469
0,reminds me of a TV show episode on gtav xD,2f8b8ab155c
0,Is Hillary there! 😊,b13b207fb27
1,Is it migrants or refugees this week bbc?,196176f0d9b
1,They are weird..😧😧😧,3d08a3739f6
0,"Zainab: Definition of habit - as in nun's habit - is defined as clothing of a religious order. I’m not using the term ‘habit’ as something habitual, or behaviour pattern,",e94ba8c68db
1,"the bible says it is OK to own slaves, beat children, presumably rape children because the church did lots of that. Also killing women who cheat on their husbands. Sorry just when you said you were a Christian I assumed you had read the bible and believed in its teachings. Or are you like every other hypocrite that likes to pick and choose the bits of the bible they listen to. And there is NO evidence that children of opposite sex couples do better. Look at you, presumably the spawn of 2 religious opposite sex zealots. They managed to produce an intollereant hateful hypocrite. Not exactly the poster child for your argument are you. So back to my original question how many slaves is it OK to own?",59668a7d2c8
0,uhm...,a28243f3ce9
1,and growing terrorists,d3542e5585a
0,Justine Louise they are migrants http://www.dailymail.co.uk/news/article-3240010/Number-refugees-arriving-Europe-soars-85-year-just-one-five-war-torn-Syria.html,a093d5bdf30
0,"are you seriously coming to me with that weak shit? If you'd actually READ my comment, you'd see that I said from the start that it's only peripherally about gay marriage! Or BarryCare! My point was LEGAL!! The merits of those issues are a SEPARATE MATTER.",fc8e8889b76
